Comments_in_chinese,Comments_in_english,Groundtruth,URL
硬件好像是3060级别，目前1199完全值这个价了,"The hardware seems to be at the 3060 level, and the current 1199 is completely worth the price.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
3060现在二手价都要一千多，现在s80如果做好驱动是真的香啊,"The second-hand price of 3060 is now more than a thousand, and now the s80 is really good if it is driven well.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
而你，我的朋友，你是真正的英雄,"And you, my friend, you are the real hero",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
问题是你买1660十年后性能还是1660，但这卡随着驱动更新性能是一直在提升的,"The problem is that ten years after you bought the 1660, the performance is still 1660, but the performance of this card has been improving with the driver update.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
899，哪怕只是1060的性能，那也是划算的,"899, even if it is only 1060 performance, it is also cost-effective",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
美丽国商务部认证高品质国产显卡, High-quality domestic graphics cards certified by The Ministry of Commerce of US ,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
驱动需要时间积累技术和经验,Graphic card driver takes time to accumulate technology and experience,M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
是的，如果能得到资金支持，撑过这个黑暗期低潮期，相信国产显卡能在中国市场占有一席之地，不能让外国厂商独大,"Yes, if we can get financial support to survive this dark period and low tide period, I believe that domestic graphics cards can occupy a place in the Chinese market and cannot let foreign manufacturers dominate.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我挺好奇，为啥电脑显卡那么难写驱动，手机显卡（比方说马良）花几年就写好了,"I'm very curious, why is it so difficult to write drivers for computer graphics cards, and mobile phone graphics cards (such as Ma Liang) just took a few years to write.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
问题是摩尔线程现在被制裁了。要是用不上台积电的工艺，下代产品怎么做,"The problem is that the Moore thread is now sanctioned.If you can't use TSMC's technology, what should you do with the next generation of products?",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
只要用户够多，就能倒逼软件去优化,"As long as there are enough users, the software can be forced to optimize",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这个确实可以，但是放在当今国内市场，很难形成得了这么大的用户基数,"This is indeed possible, but in today's domestic market, it is difficult to form such a large user base.",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
估计京东也想不到这么多人支持摩尔线程,It is estimated that Jingdong did not expect so many people to support this thread.,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我快急死了，地区无货，看着销量几张几张的加，却一直看不到补货，今天玩一天手机了，现在还没蹲到,"I'm in a hurry. The area is out of stock. I watched the sales increase by a few sheets, but I haven't been able to see the replenishment. I've been playing on my mobile phone for a day today, and I haven't been able to successfully buy it yet.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
如果是来跑AI摩尔线程不符合预期就不要买，没必要花这个钱，等一下S90,"If the thread that is here to run AI does not meet expectations, don't buy it. There is no need to spend this money. Wait a minute for S90.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
国产显卡这一年的进步确实巨大，但你评论第二段中的那些声音也确实是国产显卡的真实情况,"The progress of domestic graphics cards this year is indeed huge, but the voices in the second paragraph of your comment are indeed the real situation of domestic graphics cards.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
实际上它卖的越好，厂商就越有信心扩大研发团队,"In fact, the better it sells, the more confident manufacturers will be to expand their R&D teams.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我真的佩服国内现在做显卡的，这玩意不是说造出来就行的，还要有人优化，完全就是花时间去积累，而且国内舆论大多对自家的科技产业不太友好，这种情况下还敢搞国产显卡，我是真的服,"I really admire the graphics cards that are now made in China. This thing is not just made, but someone has to optimize it. It just takes time to accumulate, and most of the domestic public opinion is not very friendly to their own technology industry. In this case, I dare to engage in domestic graphics cards. I really believe it.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
坚持下去就是胜利啊 玩家才有便宜大碗的显卡,"If you stick to it, you will win. Players have cheap graphics cards.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
由于适配的原因，目前还只能算是中规中矩,"Due to adaptation reasons, it can only be regarded as well-behaved at present.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这卡也就生产力可能会买，正常玩家买都不推荐,"This card is likely to be bought by those who need it to produce, and it is not recommended for normal players to buy it.",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
虽然我一直说这玩意是电子废品，但它要是降价到1199，就是完全不同的另一个故事了,"Although I have always said that this thing is electronic waste, if it is reduced to 1199, it will be a completely different story.",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这外观我觉得帅炸了说实话，真要是起来了可以找国内那些七彩虹他们卖芯片了，正好被制裁了他们卖不了显卡了,"I think the appearance is so handsome. To be honest, if you really get up, you can find those OEMs in China to sell these chips, since they just happened to be sanctioned and can't sell graphics cards anymore.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
最大的问题我觉得不是性能而是兼容性问题，这张显卡很可能你买回来好很多游戏你都玩不了,The biggest problem I think is not performance but compatibility. It's very likely that you can't play many games with this graphics card if you buy it back.,N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
那倒不至于，这卡兼容性问题没那么大,"That's not true, the compatibility problem with this card is not that big",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
感觉这卡玩起来应该和I卡的体验差不多，随着驱动版本更迭，帧数不断变高,"It feels that this card should be similar to the experience of the I card. As the driver version changes, the number of frames keeps getting higher.",P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
支不支持人工智能，我比较关心这个,Does it support artificial intelligence? I am more concerned about this.,M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
我觉得这卡在AI领域的潜力更大，要是能在服务器主板上插上几张串联那岂不是美哉,I think this card has greater potential in the field of AI. Wouldn't it be beautiful if it could be plugged into a few series on the server motherboard?,P,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
这玩意玩单机就是个笑话，连970都不如,"This thing is a joke to play stand-alone, even is not as good as 970 ",N,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
买回来收藏，等生态跟上了再开封,"Buy it back and collect it, and wait for the ecology to keep up before opening it",M,https://www.bilibili.com/video/BV1bu4y1Y7bQ/
现在还没有1060的性能，估计还得再成长几个月,"There is no 1060 performance yet, and it is estimated that it will have to grow for a few more months.",M,https://www.bilibili.com/video/BV1gG411C717/
已经1650的性能了到1060只是临门一脚的事情,"The performance of 1650 is already up to 1060, but it's just a matter of stepping in.",P,https://www.bilibili.com/video/BV1gG411C717/
我是满怀期待的,I am full of expectations,P,https://www.bilibili.com/video/BV1gG411C717/
主要就是跑分不够，有可能还不如1050ti,"The main reason is that the running points are not enough, it may not be as good as the 1050ti",N,https://www.bilibili.com/video/BV1gG411C717/
不能直接支持，跟AMD一样，需要源码在工具套件上翻译执行,"Cannot be directly supported, just like AMD, the source code needs to be translated and executed on the tool kit",N,https://www.bilibili.com/video/BV1gG411C717/
至少搞出来东西了，至少有实物可以拉投资，可以招更多的人才去做科研攻关了,"At least something has been made, at least there are physical objects that can be invested, and more talents can be recruited to do scientific research and research.",P,https://www.bilibili.com/video/BV1gG411C717/
由于驱动原因游戏过程中GPU使用率很低，可优化空间极大，感觉和A770的情况类似,"Due to driver reasons, the GPU usage rate is very low during the game, and the space for optimization is very large. It feels similar to the situation of the A770.",M,https://www.bilibili.com/video/BV1gG411C717/
根本抢不到，定金按钮都是灰色的，哪怕买回来当个手办模型摆着都不算贵,"I can't grab it at all, the deposit buttons are all gray, even if I buy it back and put it on as a hand-made model, it's not expensive.",P,https://www.bilibili.com/video/BV1gG411C717/
