Comments_in_chinese,Rating,Ground_truth
毫无看点，黑白画质，一个男人孤独的心理情景历程，疯疯癫癫，没有任何恐怖的成分，这应该是剧情片吧.,1,N
全职主妇侦探，不，是强盗。,5,P
哈哈哈哈哈哈哈！师父果然威武！,5,P
这拍的是什么垃圾啊，我草,1,N
真是太缺乏诚意了！负五星。,1,N
这个好玩,5,P
哈哈哈哈哈好带喜感的师傅~~,5,P
从小就这臭脾气,5,P
小姐，你的熊掉了。,5,P
主妇很威武！,5,P
打着古惑仔的名头好歹请个古惑仔来客串呀。,1,N
"小姐，你的熊掉了.
",5,P
小姐你的熊掉了……神啊……,5,P
几个sp中最好看的,5,P
"小姐,你的熊掉了",5,P
主妇桑。汝辈还是内么具有喜感TAT,5,P
1,1,N
还可以,5,P
为最后的小故事多给一颗星。,5,P
小姐！你的熊掉了！,5,P
丧心病狂,5,P
= =fa打瓶子小人的时候 师父怎么没上。。。,5,P
这电影竟然是troma的。。,1,N
一个个丑得像鞋底子似的还拍你妈逼啊,1,N
这是实习生的作品吗？忒难看了...,1,N
看完蛋碎了。,1,N
同样看五分钟就弃了,1,N
只看前五分钟……一个占小便宜还装傻扮受害者的女孩儿真的可以当纯爱女主角么，导演你脑子没坏吧,1,N
看到14分钟就猜中了之后80%的剧情，导演没文化、装文艺，编剧老套、脑残，剧情弱智、狗血，男女猪脚做作、浮夸，又一部烂片。PS：爱吐槽的小盆友注意，本片槽点非常充实。,1,N
海报确实很牛B。。,1,N
不死之身，牛，我就是好奇炸碎成拼都拼不起来的，他还怎么活？好吧，其实妖舟回答过这个问题，他的猎人同人里那位，就是按分子形式重建躯体的···········,1,N
已有,1,N
师父的故事，另一个炼金术师的传奇。,5,P
很搞笑啊！,5,P
小姐 你的熊~是你的熊~,5,P
师父本身就是一个牛逼的存在好么，各方面。。,5,P
第一篇还是大河剧画风，第二篇忽然就变成了少女漫。和师匠比起来，爱德真是弱啊！,5,P
亮点全在最后啊！,5,P
小姐，你的熊掉了,5,P
萌死啦！！！,5,P
笑死了 把熊过肩摔的女人跟举起钢琴的女人有什么本质不同么,5,P
………………………………这……太能搞了=        =,5,P
笑死了XDDDD 这样一看师匠和ED好像啊w,5,P
小姐，你的熊掉了,5,P
小姐，你的熊掉了!,5,P
初恋的故事很有爱啊啊啊啊啊啊,5,P
笑死了！,5,P
怎么打不开,5,P
大一寒假的考试周   ,5,P
究竟有多喜欢这系列的古惑仔呢？,5,P
不好看，没意思。,1,N
经典片，现在拍不了了。,5,P
那段时间补得电影，看看还是不错的,5,P
哈哈哈哈哈哈哇哦,1,N
"这片…
我不懂他们是经费只有1000块钱还是咋的，还借用人家大学场地完了还不给人家?？还有火车站那块场地后面XX宾馆几个大字俺都康得清清楚楚了嗷?
人设有问题——女主刚开片是个欠透的公主病女，然后这个bitch刚到男主家住一天第二天早上起床就会和气的说话了？难道男主晚上夜访给她整舒服了?不痒了公主病就好了？还有男主是个比吴京?的圣母，我真的没见过这个等级的瞎子，女主这么丑也把他眼睛吸得死死的——也许是因为丫25了还是个处男着急透??破处？
其实?从女主一开始找爷爷到男主奶奶出场那块——我就知道这没跑了这老头老太太肯定是一家的！男主透了半天?发现炮友是自己妹妹～相当于以后家里还能有个稳定的输出kp对象了呗?
实在一言难尽…因为俺真的找不出来它哪怕一丁点好，膝盖都跪烂了。0分。",1,N
那女的演技实在太差了，男的还算养眼，可是貌似全称就是配音的啊！救命啊，当初以为，那对老人家的爱情有多吸引，谁不知道，就是两三句话就概括了嘛~~为啥我会看这么一出东西啊,1,N
"又是陪妈看剧系列，又是无力吐槽，首先，我真的受不了女主的声音，嗲得让人恶心，这口音是台湾的吗？？她叫奶奶的声音真的又奇怪又难听，而且她还很zz，傻逼兮兮地随便吃野果，中毒进医院，现实中真有这么zz的人吗？路上什么不知名的野果都能随便乱吃。
新吐槽，女主时不时来个耶，说话老是加一个哦，看着……好烦人",1,N
女主口音有点做作，文艺乔最后一笑萌化我了,5,P
喜欢,5,P
这女主角一开口我就凌乱了，狗血琼瑶剧。。题材类似的《孔雀眼》感觉要拍得自然很多。我要blacklist尤小刚。。,1,N
"一分给男主的美貌
哈哈哈哈哈",1,N
纯粹为了乔叔美颜来的，一星为乔叔,1,N
男主真的是清纯文艺秀气到了极致啊！用徐海乔的脸带入吴邪，相当和谐有没有！我以前看不进去盗墓笔记的结果就因为这个看下去了,5,P
不想说。,1,N
幼稚之至。演员全都是业余的，居然没有请一些真正的军人做群演，大败笔。大家看看最后几分钟的所谓大比武，，，红蓝攻防。。。简直比电视剧里玩打家家的人还业余，笑到我肚子疼，还有那军礼敬得也够假，，，无语,1,N
还记得是大学，全班儿就我一个人去听Jason外教每周四晚上的口语交流课~ 他给我们放了这片儿我觉得好看极了。。虽然没有拜读过原著，但这版所呈现的包法利夫人也不差毫厘了。,5,P
小姐……你的熊掉了…,5,P
【小姐，你的熊掉了。。的熊掉了。。熊掉了。。掉了。。了。。】师傅的恋爱如同暴风雨o(*≧▽≦)ツ┏━┓[拍桌狂笑!],5,P
师匠萌到爆啊~~~~,5,P
小姐你的熊掉了o(*≧▽≦)ツ┏━┓,5,P
这位小姐，你忘了你的熊   lol,5,P
哈哈哈哈小姐你的熊掉了,5,P
我对师傅的崇敬不是三言两语能说完的,5,P
超级喜欢露白，这样的男人是我的就好了,5,P
很感人,5,P
哈哈也就普通大学社团演戏的水准，太假了,1,N
"这片我也是醉了
一星给徐海乔",1,N
最喜欢这种特别生活化的温馨喜剧~~~~,5,P
甜心的演技啊，硬伤啊,1,N
小姐，你的熊~~,5,P
 小姐，你的熊掉了,5,P
"哈哈哈哈哈你的熊掉了哈哈哈哈哈哈哈哈哈
",5,P
又厉害又搞笑又可爱又温柔，布里格斯的那个女人真是不简单，哈哈哈哈,5,P
这一集日式复古风格的细节好喜欢 初恋笑死我了,5,P
小姐 你的熊掉了,5,P
小姐，你的熊掉了，哈哈哈,5,P
哈哈哈，在剧情差不多忘记光的情况下，还是被师傅炸出来了。,5,P
原来主妇还有这么青葱的岁月呀~哈哈哈。小姐这是你掉的熊吗？啊哈哈哈,5,P
你忘了你的熊！,5,P
小姐，你的熊掉了,5,P
小姐，你的熊掉了,5,P
爱玛怎么会那么美……？不，不会。但可以肯定的是，在夏尔、里昂眼中，的确这样美。这个女人是个梦，人人都迫不及待的踏入这场梦……,5,P
诶。。老公如此好。。实在不应该啦= =~！,5,P
